"","date","Investigation"
"1","2016-01",11
"2","2016-02",7
"3","2016-03",6
"4","2016-04",6
"5","2016-05",16
"6","2016-06",15
"7","2016-07",31
"8","2016-08",17
"9","2016-09",11
"10","2016-10",37
"11","2016-11",18
"12","2016-12",6
"13","2017-01",32
"14","2017-02",18
"15","2017-03",20
"16","2017-04",11
"17","2017-05",22
"18","2017-06",34
"19","2017-07",25
"20","2017-08",13
"21","2017-09",8
"22","2017-10",21
"23","2017-11",33
"24","2017-12",31
"25","2018-01",16
"26","2018-02",37
"27","2018-03",28
"28","2018-04",67
"29","2018-05",65
"30","2018-06",102
"31","2018-07",110
"32","2018-08",106
"33","2018-09",56
"34","2018-10",34
"35","2018-11",62
"36","2018-12",70
