"","date","Fake","Trusted","All"
"1","2016-01",62,25,87
"2","2016-02",43,26,69
"3","2016-03",48,16,64
"4","2016-04",16,20,36
"5","2016-05",66,18,84
"6","2016-06",22,11,33
"7","2016-07",18,11,29
"8","2016-08",31,16,47
"9","2016-09",27,17,44
"10","2016-10",20,3,23
"11","2016-11",17,2,19
"12","2016-12",6,5,11
"13","2017-01",24,6,30
"14","2017-02",22,5,27
"15","2017-03",9,8,17
"16","2017-04",9,13,22
"17","2017-05",15,4,19
"18","2017-06",14,14,28
"19","2017-07",28,10,38
"20","2017-08",20,17,37
"21","2017-09",12,7,19
"22","2017-10",26,21,47
"23","2017-11",14,12,26
"24","2017-12",25,9,34
"25","2018-01",6,10,16
"26","2018-02",11,12,23
"27","2018-03",8,4,12
"28","2018-04",30,5,35
"29","2018-05",20,8,28
"30","2018-06",40,19,59
"31","2018-07",33,7,40
"32","2018-08",39,31,70
"33","2018-09",18,21,39
"34","2018-10",22,8,30
"35","2018-11",24,12,36
"36","2018-12",28,12,40
